gid,role,role_score,cluster_id,priority_score,rank,evidence,depth,is_seed,censored,seeds_upstream,seeds_direct,in_degree,out_degree,in_tx,out_tx,in_sum_kzt,out_sum_kzt,retention,fast_out_share,sync_in_max,co_senders,routes_mid,routes_any,pagerank,betweenness,hub_in,hub_out,clusters_touched,peer_in_degree,peer_out_degree,peer_volume,peer_betweenness,depth_outliers
100000008477350100,distributor,0.8849,2,0.6614,11,Признаки веерной раздачи: деньги от 2 seed; получает от 11 плательщ. (610 тыс ₸); платит 39 получат. (3.4 млн ₸); отдаёт в 5.5 раза больше видимого входа; 57% уходит ≤2 дн. после поступления,2,False,False,2,0,11,39,14,44,610100.0,3374866.0,0.0,0.5699,2,8,2,4,0.00103424,0.00251719,10,18,6,0.9957,0.9892,0.9696,0.9848,"in_degree,out_degree,volume,betweenness"
100000008512552100,transit,0.979,10,0.6536,12,Признаки транзита: получает от 4 плательщ. (394 тыс ₸); платит 6 получат. (1.3 млн ₸); отдаёт в 3.3 раза больше видимого входа; 100% уходит ≤2 дн. после поступления; повтор. маршрутов: 7,2,False,False,1,0,4,6,9,11,394360.0,1302275.0,0.0,1.0,2,2,3,7,0.00042588,0.00043073,3,1,1,0.9262,0.9111,0.9328,0.9479,
100000002957787100,distributor,0.9107,3,0.6536,13,Признаки веерной раздачи: получает от 4 плательщ. (85 тыс ₸); платит 34 получат. (1.3 млн ₸); отдаёт в 15.0 раза больше видимого входа; по числу получателей выше 98% узлов 2-го колена,2,False,False,1,0,4,34,7,41,84956.0,1276153.96,0.0,0.7551,2,5,13,14,0.00061383,0.00427665,3,13,9,0.9262,0.9848,0.9111,0.9935,"out_degree,betweenness"
100000004400305100,distributor,0.9443,30,0.6515,14,Признаки веерной раздачи: деньги от 2 seed; получает от 7 плательщ. (223 тыс ₸); платит 82 получат. (5.8 млн ₸); отдаёт в 26.2 раза больше видимого входа; 79% уходит ≤2 дн. после поступления,2,False,False,2,0,7,82,9,101,222800.0,5830181.0,0.0,0.7857,2,8,1,5,0.00038582,0.00260915,7,33,10,0.9761,0.9957,0.9892,0.987,"in_degree,out_degree,volume,betweenness"
100000007055802100,consolidator,0.6007,2,0.6512,15,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (2.0 млн ₸); платит 1 получат. (605 тыс ₸); отдаёт дальше 30% полученного; 100% уходит ≤2 дн. после поступления,1,False,False,3,1,6,1,34,7,2024999.0,605000.0,0.7012,1.0,4,4,4,14,0.00118192,4.36e-06,6,1,3,0.983,0.6476,0.9851,0.7431,"in_degree,volume"
100000004299488100,consolidator,0.5698,2,0.6503,16,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (1.7 млн ₸); платит 2 получат. (345 тыс ₸); отдаёт дальше 20% полученного; 94% уходит ≤2 дн. после поступления,1,False,False,3,1,6,2,22,14,1749000.0,344999.0,0.8027,0.942,3,4,3,12,0.00146212,2.081e-05,6,1,2,0.983,0.7834,0.9724,0.7941,"in_degree,volume"
100000000331309100,distributor,0.8396,23,0.648,17,Признаки веерной раздачи: деньги от 3 seed; получает от 5 плательщ. (985 тыс ₸); платит 99 получат. (23.0 млн ₸); отдаёт в 23.4 раза больше видимого входа; 36% уходит ≤2 дн. после поступления,2,False,False,3,0,5,99,8,126,984635.0,23001375.0,0.0,0.3584,3,17,4,7,0.00087569,0.00455723,4,42,10,0.9479,0.9978,1.0,0.9957,"out_degree,volume,betweenness"
100000007442518100,transit,0.7753,16,0.6438,18,Признаки транзита: деньги от 3 seed (1 напрямую); получает от 5 плательщ. (510 тыс ₸); платит 9 получат. (4.4 млн ₸); отдаёт в 8.7 раза больше видимого входа; 90% уходит ≤2 дн. после поступления,1,False,False,3,1,5,9,8,12,510000.0,4419999.0,0.0,0.8993,1,0,0,2,0.00064877,0.00025224,5,1,4,0.9703,0.966,1.0,0.9342,"in_degree,out_degree,volume"
100000003701161100,transit,0.764,14,0.6426,19,Признаки транзита: деньги от 2 seed (1 напрямую); получает от 4 плательщ. (1.5 млн ₸); платит 3 получат. (349 тыс ₸); отдаёт дальше 23% полученного; по обороту выше 96% узлов 1-го колена,1,False,False,2,1,4,3,13,7,1527103.0,349000.0,0.7715,1.0,2,0,2,2,0.00164882,0.00021301,4,2,1,0.9236,0.8556,0.966,0.9278,volume
100000004403675100,transit,0.7398,15,0.637,20,Признаки транзита: деньги от 3 seed (2 напрямую); получает от 4 плательщ. (183 тыс ₸); платит 5 получат. (265 тыс ₸); отдаёт в 1.4 раза больше видимого входа; 54% уходит ≤2 дн. после поступления,1,False,False,3,2,4,5,8,6,182980.0,264699.0,0.0,0.5402,1,0,2,2,0.00074007,0.00278767,4,3,4,0.9236,0.9236,0.811,1.0,betweenness
100000008346837100,distributor,0.85,3,0.6273,21,Признаки веерной раздачи: деньги от 3 seed; получает от 9 плательщ. (254 тыс ₸); платит 25 получат. (1.3 млн ₸); отдаёт в 4.9 раза больше видимого входа; 85% уходит ≤2 дн. после поступления,2,False,False,3,0,9,25,12,26,254359.0,1258643.0,0.0,0.8516,4,2,0,0,0.00054741,0.00898116,5,9,6,0.987,0.9805,0.9219,1.0,"in_degree,out_degree,betweenness"
100000007129492100,consolidator,0.4968,1,0.6247,22,Признаки консолидации: деньги от 8 seed (2 напрямую); получает от 2 плательщ. (51 тыс ₸); платит 1 получат. (37 тыс ₸); отдаёт дальше 73% полученного; 100% уходит ≤2 дн. после поступления,1,False,False,8,2,2,1,2,1,50990.0,37000.0,0.2744,1.0,1,0,0,2,0.00029452,2.516e-05,2,0,1,0.6624,0.6476,0.5265,0.8089,
100000002398779100,consolidator,0.7292,3,0.6245,23,Признаки консолидации: деньги от 2 seed; получает от 13 плательщ. (1.1 млн ₸); платит 1 получат. (66 тыс ₸); отдаёт дальше 6% полученного; по числу плательщиков больше всех узлов 2-го колена,2,False,False,2,0,13,1,28,3,1095690.0,66000.0,0.9398,1.0,7,1,3,3,0.0016005,1.278e-05,10,0,2,0.9978,0.5835,0.9024,0.7267,in_degree
100000005704413100,distributor,0.835,13,0.6071,24,Признаки веерной раздачи: деньги от 2 seed; получает от 3 плательщ. (98 тыс ₸); платит 32 получат. (1.4 млн ₸); отдаёт в 13.9 раза больше видимого входа; 45% уходит ≤2 дн. после поступления,3,False,False,2,0,3,32,4,35,97834.67,1363593.0,0.0,0.4452,2,1,8,8,0.00059969,0.00256276,1,3,2,0.953,0.9987,0.9632,0.9975,"in_degree,out_degree,volume,betweenness"
100000002957306100,consolidator,0.5937,1,0.6047,25,Признаки консолидации: деньги от 8 seed (2 напрямую); получает от 2 плательщ. (398 тыс ₸); повтор. маршрутов: 6; исходящих ≥5 тыс ₸ нет,1,False,False,8,2,2,0,2,0,398490.0,0.0,1.0,0.0,1,0,0,6,0.00035519,0.0,2,0,1,0.6624,0.0,0.7919,0.0,
100000005933757100,distributor,0.8935,13,0.6047,26,Признаки веерной раздачи: получает от 4 плательщ. (1.2 млн ₸); платит 34 получат. (3.0 млн ₸); отдаёт в 2.4 раза больше видимого входа; по числу получателей выше 98% узлов 2-го колена,2,False,False,1,0,4,34,6,46,1246000.0,3002628.0,0.0,0.6113,2,1,2,2,0.00099799,0.00389279,1,7,6,0.9262,0.9848,0.9718,0.9913,"out_degree,volume,betweenness"
100000008489922100,distributor,0.8104,11,0.6047,27,Признаки веерной раздачи: деньги от 2 seed; получает от 3 плательщ. (262 тыс ₸); платит 36 получат. (3.8 млн ₸); отдаёт в 14.5 раза больше видимого входа; 27% уходит ≤2 дн. после поступления,3,False,False,2,0,3,36,5,41,262010.0,3789900.0,0.0,0.2691,2,9,0,3,0.0005859,0.00087219,2,6,2,0.953,1.0,0.9975,0.9911,"in_degree,out_degree,volume,betweenness"
100000001857829100,distributor,0.709,27,0.6046,28,Признаки веерной раздачи: получает от 6 плательщ. (889 тыс ₸); платит 16 получат. (2.4 млн ₸); отдаёт в 2.7 раза больше видимого входа; по числу плательщиков выше 96% узлов 2-го колена,2,False,False,1,0,6,16,9,16,888535.0,2390993.0,0.0,0.8155,3,8,0,3,0.00062048,0.0019596,5,6,4,0.961,0.9631,0.9653,0.9783,"in_degree,out_degree,volume,betweenness"
100000004820260100,transit,0.813,4,0.601,29,Признаки транзита: деньги от 2 seed; получает от 1 плательщ. (234 тыс ₸); платит 3 получат. (215 тыс ₸); отдаёт дальше 92% полученного; 100% уходит ≤2 дн. после поступления; повтор. маршрутов: 3,2,False,False,2,0,1,3,12,10,234200.0,215350.0,0.0805,1.0,1,2,2,3,0.00140146,1.962e-05,1,1,0,0.0,0.8395,0.8048,0.7636,
100000005339662100,consolidator,0.451,4,0.6009,30,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 4 плательщ. (203 тыс ₸); платит 4 получат. (295 тыс ₸); отдаёт в 1.5 раза больше видимого входа; 77% уходит ≤2 дн. после поступления,1,False,False,3,1,4,4,9,15,202939.0,295160.0,0.0,0.7669,2,1,1,3,0.00165674,0.00013962,3,3,1,0.9236,0.9002,0.8429,0.9045,
100000003366154100,transit,0.7856,9,0.5983,31,Признаки транзита: деньги от 4 seed (1 напрямую); получает от 1 плательщ. (125 тыс ₸); платит 3 получат. (289 тыс ₸); отдаёт в 2.3 раза больше видимого входа; 100% уходит ≤2 дн. после поступления,1,False,False,4,1,1,3,1,3,125000.0,289170.0,0.0,1.0,1,0,0,1,0.0003106,6.147e-05,1,1,0,0.0,0.8556,0.8004,0.8556,
100000000661912100,consolidator,0.4579,2,0.5968,32,Признаки консолидации: деньги от 2 seed (1 напрямую); получает от 5 плательщ. (393 тыс ₸); платит 2 получат. (431 тыс ₸); отдаёт в 1.1 раза больше видимого входа; 75% уходит ≤2 дн. после поступления,1,False,False,2,1,5,2,9,8,393036.0,430700.0,0.0,0.7516,2,0,1,3,0.00174916,0.00133369,4,0,2,0.9703,0.7834,0.9023,0.9809,"in_degree,betweenness"
100000004070318100,distributor,0.6521,3,0.5958,33,Признаки веерной раздачи: деньги от 2 seed (1 напрямую); получает от 4 плательщ. (207 тыс ₸); платит 19 получат. (552 тыс ₸); отдаёт в 2.7 раза больше видимого входа; повтор. маршрутов: 4,1,False,False,2,1,4,19,6,37,207246.55,551860.0,0.0,0.5406,2,27,0,4,0.00031412,0.00207327,4,15,6,0.9236,0.9915,0.896,0.9915,"out_degree,betweenness"
100000006518161100,consolidator,0.4687,4,0.5904,34,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 3 плательщ. (594 тыс ₸); платит 2 получат. (596 тыс ₸); отдаёт в 1.0 раза больше видимого входа; 71% уходит ≤2 дн. после поступления,1,False,False,3,1,3,2,13,13,594200.0,595899.0,0.0,0.7147,2,0,2,7,0.00081081,5.786e-05,3,1,0,0.8429,0.7834,0.9342,0.8514,
100000001609499100,coordinator,0.8484,3,0.5871,35,Связующий узел между хабами: связан с 3+2 хабами (вход+выход); деньги от 2 seed (1 напрямую); получает от 3 плательщ. (263 тыс ₸); платит 2 получат. (21 тыс ₸); отдаёт дальше 8% полученного,1,False,False,2,1,3,2,3,2,263113.0,21000.0,0.9202,0.4762,1,8,0,1,0.00032091,0.00018422,3,2,2,0.8429,0.7834,0.7367,0.9172,
100000003004487100,transit,0.7827,18,0.5863,36,Признаки транзита: деньги от 2 seed (1 напрямую); получает от 4 плательщ. (184 тыс ₸); платит 2 получат. (265 тыс ₸); отдаёт в 1.4 раза больше видимого входа; 92% уходит ≤2 дн. после поступления,1,False,False,2,1,4,2,9,3,183702.8,265015.0,0.0,0.9245,2,2,0,1,0.00035087,0.0001928,4,1,2,0.9236,0.7834,0.8132,0.9236,
100000008730846100,consolidator,0.4821,0,0.5852,37,Признаки консолидации: получает от 7 плательщ. (155 тыс ₸); платит 3 получат. (363 тыс ₸); отдаёт в 2.3 раза больше видимого входа; по числу плательщиков выше 97% узлов 2-го колена,2,False,False,1,0,7,3,11,4,155042.0,363370.0,0.0,1.0,4,6,3,3,0.00053606,0.00014091,7,1,2,0.9761,0.8395,0.833,0.9111,in_degree
100000008748914100,distributor,0.5863,9,0.5844,38,Признаки веерной раздачи: получает от 2 плательщ. (180 тыс ₸); платит 13 получат. (4.5 млн ₸); отдаёт в 24.8 раза больше видимого входа; по числу получателей выше 97% узлов 1-го колена,1,False,False,1,1,2,13,9,21,180000.0,4471847.0,0.0,0.4959,1,11,4,25,0.00079083,0.00064061,0,7,5,0.6624,0.9788,0.9958,0.9682,"out_degree,volume,betweenness"
100000008304139100,distributor,0.701,3,0.5828,39,Признаки веерной раздачи: деньги от 2 seed (1 напрямую); получает от 4 плательщ. (189 тыс ₸); платит 24 получат. (1.7 млн ₸); отдаёт в 8.9 раза больше видимого входа; повтор. маршрутов: 69,1,False,False,2,1,4,24,4,43,189329.75,1692997.0,0.0,0.2819,1,25,0,69,0.00031362,0.0013103,4,13,6,0.9236,0.9958,0.9682,0.9788,"out_degree,volume,betweenness"
100000005910114100,distributor,0.6488,3,0.5818,40,Признаки веерной раздачи: деньги от 3 seed; получает от 3 плательщ. (326 тыс ₸); платит 19 получат. (1.5 млн ₸); отдаёт в 4.5 раза больше видимого входа; 42% уходит ≤2 дн. после поступления,3,False,False,3,0,3,19,3,56,326144.0,1469993.0,0.0,0.4222,1,32,0,49,0.00036165,0.00584221,3,14,4,0.953,0.9962,0.9759,1.0,"in_degree,out_degree,volume,betweenness"
100000005782781100,transit,0.8316,3,0.5767,41,Признаки транзита: получает от 6 плательщ. (172 тыс ₸); платит 10 получат. (1.3 млн ₸); отдаёт в 7.4 раза больше видимого входа; по числу плательщиков выше 96% узлов 2-го колена,2,False,False,1,0,6,10,10,10,171888.0,1263597.0,0.0,1.0,3,2,0,0,0.00048751,0.00056832,6,3,2,0.961,0.9414,0.9176,0.9544,"in_degree,betweenness"
100000004071080100,consolidator,0.5199,2,0.5739,42,Признаки консолидации: деньги от 2 seed (1 напрямую); получает от 9 плательщ. (239 тыс ₸); платит 2 получат. (46 тыс ₸); отдаёт дальше 19% полученного; 87% уходит ≤2 дн. после поступления,1,False,False,2,1,9,2,16,5,238600.0,46500.0,0.8051,0.871,2,0,2,6,0.001369,2.814e-05,8,0,3,0.9958,0.7834,0.7389,0.8132,in_degree
100000001530983100,distributor,0.4548,9,0.5717,43,Признаки веерной раздачи: деньги от 4 seed (2 напрямую); получает от 4 плательщ. (564 тыс ₸); платит 11 получат. (1.8 млн ₸); отдаёт в 3.2 раза больше видимого входа; повтор. маршрутов: 3,1,False,False,4,2,4,11,4,17,564158.0,1829538.0,0.0,0.1565,1,0,0,3,0.00035609,0.00033207,4,3,3,0.9236,0.9745,0.9788,0.9469,"out_degree,volume"
100000008547948100,distributor,0.7342,11,0.5698,44,Признаки веерной раздачи: деньги от 2 seed; получает от 6 плательщ. (213 тыс ₸); платит 26 получат. (5.2 млн ₸); отдаёт в 24.4 раза больше видимого входа; 22% уходит ≤2 дн. после поступления,2,False,False,2,0,6,26,7,31,212665.0,5185600.0,0.0,0.2163,4,11,2,2,0.0004277,0.00113221,5,8,2,0.961,0.9826,0.9848,0.9696,"in_degree,out_degree,volume,betweenness"
100000003923946100,transit,0.7801,13,0.565,45,Признаки транзита: деньги от 2 seed (1 напрямую); получает от 1 плательщ. (282 тыс ₸); платит 4 получат. (675 тыс ₸); отдаёт в 2.4 раза больше видимого входа; 100% уходит ≤2 дн. после поступления,1,False,False,2,1,1,4,3,4,282000.0,675000.0,0.0,1.0,1,1,2,2,0.00038942,1.98e-06,0,2,0,0.0,0.9002,0.9172,0.7261,
100000002894076100,consolidator,0.6773,17,0.564,46,Признаки консолидации: деньги от 7 seed (2 напрямую); получает от 4 плательщ. (1.1 млн ₸); до 3 плательщ. в один день; исходящих ≥5 тыс ₸ нет,1,False,False,7,2,4,0,6,0,1122782.0,0.0,1.0,0.0,3,0,0,0,0.00038268,0.0,4,0,2,0.9236,0.0,0.9278,0.0,
100000004759121100,consolidator,0.5013,2,0.5627,47,Признаки консолидации: деньги от 3 seed (1 напрямую); получает от 6 плательщ. (710 тыс ₸); платит 2 получат. (312 тыс ₸); отдаёт дальше 44% полученного; 52% уходит ≤2 дн. после поступления,1,False,False,3,1,6,2,10,6,710000.0,312000.0,0.5606,0.5192,1,0,0,2,0.00141518,7.708e-05,6,1,3,0.983,0.7834,0.9236,0.8641,in_degree
100000004351795100,distributor,0.559,3,0.5601,48,Признаки веерной раздачи: деньги от 2 seed (1 напрямую); получает от 3 плательщ. (118 тыс ₸); платит 14 получат. (1.7 млн ₸); отдаёт в 14.5 раза больше видимого входа; повтор. маршрутов: 18,1,False,False,2,1,3,14,3,37,118333.0,1715161.0,0.0,0.3791,1,16,0,18,0.00031352,0.00242852,3,9,4,0.8429,0.9809,0.9575,0.9936,"out_degree,volume,betweenness"
100000004330371100,transit,0.5882,4,0.5575,49,Признаки транзита: получает от 2 плательщ. (264 тыс ₸); платит 2 получат. (91 тыс ₸); отдаёт дальше 34% полученного; 65% уходит ≤2 дн. после поступления; повтор. маршрутов: 2,1,False,False,1,1,2,2,12,6,264171.0,90681.0,0.6567,0.6495,2,2,1,2,0.00125427,0.00033467,1,1,0,0.6624,0.7834,0.7749,0.949,
100000008736940100,transit,0.5958,7,0.5563,50,Признаки транзита: получает от 3 плательщ. (451 тыс ₸); платит 3 получат. (182 тыс ₸); отдаёт дальше 40% полученного; 100% уходит ≤2 дн. после поступления; повтор. маршрутов: 3,1,False,False,1,1,3,3,13,6,451090.0,182100.0,0.5963,1.0,2,2,1,3,0.00241416,7.9e-07,3,3,0,0.8429,0.8556,0.879,0.7028,
100000003528285100,transit,0.6308,2,0.5559,51,Признаки транзита: деньги от 2 seed; получает от 4 плательщ. (119 тыс ₸); платит 4 получат. (548 тыс ₸); отдаёт в 4.6 раза больше видимого входа; по числу плательщиков выше 98% узлов 3-го колена,3,False,False,2,0,4,4,5,6,118870.0,548000.0,0.0,0.6204,1,13,0,14,0.00040428,0.00011505,3,1,2,0.9873,0.9404,0.8985,0.9581,"in_degree,betweenness"
100000005140601100,transit,0.7176,2,0.5527,52,Признаки транзита: получает от 3 плательщ. (53 тыс ₸); платит 2 получат. (195 тыс ₸); отдаёт в 3.7 раза больше видимого входа; 97% уходит ≤2 дн. после поступления; повтор. маршрутов: 3,2,False,False,1,0,3,2,4,5,52685.0,195300.0,0.0,0.9744,2,0,0,3,0.00270573,1.962e-05,2,1,0,0.8503,0.7614,0.7223,0.7636,
100000008547844100,distributor,0.6537,11,0.5522,53,Признаки веерной раздачи: деньги от 3 seed; получает от 3 плательщ. (178 тыс ₸); платит 19 получат. (2.0 млн ₸); отдаёт в 11.5 раза больше видимого входа; 41% уходит ≤2 дн. после поступления,2,False,False,3,0,3,19,3,21,177600.0,2042199.0,0.0,0.4073,1,8,0,2,0.00034434,0.00178761,2,7,1,0.8503,0.9696,0.9523,0.9761,"out_degree,volume,betweenness"
100000001697501100,distributor,0.8415,35,0.5511,54,Признаки веерной раздачи: получает от 3 плательщ. (124 тыс ₸); платит 38 получат. (1.5 млн ₸); отдаёт в 12.0 раза больше видимого входа; по числу получателей больше всех узлов 1-го колена,1,False,False,1,1,3,38,3,55,123700.0,1482606.0,0.0,0.4582,1,1,0,1,0.0005916,0.00020548,2,2,1,0.8429,1.0,0.9533,0.9257,"out_degree,volume"
100000008748408100,distributor,0.7966,21,0.5504,55,Признаки веерной раздачи: получает от 1 плательщ. (360 тыс ₸); платит 21 получат. (1.5 млн ₸); отдаёт в 4.2 раза больше видимого входа; по числу получателей выше 99% узлов 1-го колена,1,False,False,1,1,1,21,2,22,360000.0,1499960.0,0.0,0.8743,1,0,6,6,0.00033405,7.13e-06,1,4,2,0.0,0.9936,0.9597,0.7473,"out_degree,volume"
100000008739887100,transit,0.7619,2,0.5492,56,Признаки транзита: деньги от 2 seed; получает от 2 плательщ. (214 тыс ₸); платит 2 получат. (307 тыс ₸); отдаёт в 1.4 раза больше видимого входа; 100% уходит ≤2 дн. после поступления,3,False,False,2,0,2,2,3,2,214000.0,307000.0,0.0,1.0,1,0,0,2,0.0003333,3.844e-05,2,0,0,0.8414,0.8363,0.8731,0.8731,
100000003242289100,distributor,0.7042,10,0.5488,57,Признаки веерной раздачи: получает от 3 плательщ. (551 тыс ₸); платит 23 получат. (2.4 млн ₸); отдаёт в 4.3 раза больше видимого входа; по числу получателей выше 97% узлов 2-го колена,2,False,False,1,0,3,23,8,26,550791.0,2377741.0,0.0,0.3309,2,3,4,6,0.00043972,0.00100135,3,6,5,0.8503,0.9761,0.961,0.9653,"out_degree,volume,betweenness"
100000004679953100,transit,0.4789,2,0.5484,58,Признаки транзита: деньги от 2 seed (1 напрямую); получает от 3 плательщ. (344 тыс ₸); платит 3 получат. (34 тыс ₸); отдаёт дальше 10% полученного; по посредничеству выше 95% узлов 1-го колена,1,False,False,2,1,3,3,3,3,343538.0,34100.0,0.9007,0.6246,2,3,0,3,0.00033427,0.00035422,3,3,4,0.8429,0.8556,0.7834,0.9533,betweenness
100000001660397100,transit,0.7204,3,0.5482,59,Признаки транзита: получает от 2 плательщ. (49 тыс ₸); платит 3 получат. (49 тыс ₸); отдаёт в 1.0 раза больше видимого входа; по посредничеству выше 96% узлов 1-го колена; повтор. маршрутов: 3,1,False,False,1,1,2,3,2,4,48600.0,49000.0,0.0,0.7551,1,5,0,3,0.00029515,0.0005033,2,3,2,0.6624,0.8556,0.552,0.966,betweenness
100000002578405100,distributor,0.909,34,0.5472,60,Признаки веерной раздачи: получает от 2 плательщ. (1.2 млн ₸); платит 116 получат. (3.1 млн ₸); отдаёт в 2.6 раза больше видимого входа; по числу получателей больше всех узлов 2-го колена,2,False,False,1,0,2,116,7,120,1200351.0,3108352.0,0.0,0.6693,1,0,1,1,0.00057001,0.000171,1,2,1,0.731,1.0,0.9761,0.9197,"out_degree,volume"
100000008517538100,distributor,0.6572,11,0.5471,61,Признаки веерной раздачи: деньги от 2 seed; получает от 3 плательщ. (156 тыс ₸); платит 17 получат. (1.4 млн ₸); отдаёт в 9.3 раза больше видимого входа; 59% уходит ≤2 дн. после поступления,3,False,False,2,0,3,17,6,18,155500.0,1439000.0,0.0,0.5921,1,7,3,3,0.00030702,0.00024581,3,3,1,0.953,0.9949,0.9683,0.9746,"in_degree,out_degree,volume,betweenness"
100000002267998100,transit,0.6638,14,0.5469,62,Признаки транзита: деньги от 2 seed; получает от 2 плательщ. (420 тыс ₸); платит 3 получат. (1.1 млн ₸); отдаёт в 2.7 раза больше видимого входа; 74% уходит ≤2 дн. после поступления,2,False,False,2,0,2,3,4,12,420000.0,1115000.0,0.0,0.7354,1,1,0,2,0.00158483,5.885e-05,2,2,0,0.731,0.8395,0.9241,0.8547,
