cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,cluster_score,sum_kzt_external,n_edges_internal,n_censored,fast_share_internal,repeated_routes,in_kzt_nonseed,out_kzt_nonseed,in_kzt_seeds,out_kzt_seeds,roles
20,9,0,1406982.0,100000002217161100 100000001445848100 100000007647294100 100000000954884100 100000008254576100,"Транзит с веерной раздачей (транзит 1, распределитель 1). 9 узлов, seed 0; внутр. оборот 1.4 млн ₸; быстрый транзит 84%; повторяющихся маршрутов 0; ключевой узел 100000002217161100 (распределитель); 1 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.5108,52900.0,9,1,0.8434,0,1459882.0,1406982.0,0.0,0.0,"terminal:5, peripheral:2, distributor:1, transit:1"
21,36,0,3634700.0,100000008748408100 100000004221668100 100000005171642100 100000003509750100 100000002391278100,"Транзит с веерной раздачей (транзит 5, распределитель 1). 36 узлов, seed 0; внутр. оборот 3.6 млн ₸; быстрый транзит 85%; повторяющихся маршрутов 0; ключевой узел 100000008748408100 (распределитель); 1 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.5093,750000.0,43,1,0.8537,0,4354700.0,3664700.0,0.0,0.0,"terminal:20, peripheral:10, transit:5, distributor:1"
22,6,0,2540000.0,100000004479404100 100000004717647100 100000002922000100 100000002659103100 100000001533161100,"Веерная раздача (распределитель 1, координатор 1). 6 узлов, seed 0; внутр. оборот 2.5 млн ₸; быстрый транзит 2%; повторяющихся маршрутов 1; ключевой узел 100000004479404100 (координатор); 4 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: зарплата, выплаты поставщикам.",0.5088,12000.0,6,4,0.0185,1,2552000.0,2540000.0,0.0,0.0,"peripheral:4, coordinator:1, distributor:1"
23,140,0,30751295.1,100000000331309100 100000006734214100 100000008324800100 100000003457710100 100000008560717100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 13, транзит 2, распределитель 5). 140 узлов, seed 0; внутр. оборот 30.8 млн ₸; быстрый транзит 38%; повторяющихся маршрутов 1; ключевой узел 100000000331309100 (распределитель); 47 узлов на границе обхода (исходящие неизвестны).",0.5068,9637366.05,143,47,0.3772,1,33556417.85,37583538.4,0.0,0.0,"peripheral:66, terminal:54, consolidator:13, distributor:5, transit:2"
24,15,0,3626010.0,100000008461532100 100000000791285100 100000003122817100 100000006704530100 100000002691583100,"Транзит с веерной раздачей (транзит 1, распределитель 1). 15 узлов, seed 0; внутр. оборот 3.6 млн ₸; быстрый транзит 87%; повторяющихся маршрутов 0; ключевой узел 100000008461532100 (распределитель); 6 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.4731,5300.0,15,6,0.8655,0,3631310.0,3626010.0,0.0,0.0,"peripheral:8, terminal:5, distributor:1, transit:1"
25,11,0,1868224.0,100000008603331100 100000004715209100 100000002032323100 100000001046057100 100000002671326100,"Веерная раздача (распределитель 2). 11 узлов, seed 0; внутр. оборот 1.9 млн ₸; быстрый транзит 30%; повторяющихся маршрутов 1; ключевой узел 100000008603331100 (распределитель); 5 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: зарплата, выплаты поставщикам.",0.4148,302000.0,11,5,0.2957,1,1896224.0,2142224.0,0.0,0.0,"peripheral:6, terminal:3, distributor:2"
26,4,1,1404980.0,100000001872484100 100000000785800100 100000002459163100 100000008601794100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 1). 4 узлов, seed 1; внутр. оборот 1.4 млн ₸; быстрый транзит 36%; повторяющихся маршрутов 0; ключевой узел 100000001872484100 (транзит).",0.4143,0.0,5,0,0.357,0,910580.0,533580.0,494400.0,871400.0,"peripheral:2, transit:1, terminal:1"
27,81,5,13768959.53,100000007908818100 100000001857829100 100000003880331100 100000008121806100 100000007170072100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 5, транзит 2, распределитель 4, координатор 2). 81 узлов, seed 5; внутр. оборот 13.8 млн ₸; быстрый транзит 26%; повторяющихся маршрутов 0; ключевой узел 100000007908818100 (координатор); 30 узлов на границе обхода (исходящие неизвестны).",0.3956,5611005.0,83,30,0.2582,0,17000631.53,15977597.53,160695.0,10000.0,"peripheral:45, terminal:23, consolidator:5, distributor:4, coordinator:2, transit:2"
28,5,0,1189154.0,100000004670388100 100000000291906100 100000000291908100 100000004722630100 100000004691350100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 1). 5 узлов, seed 0; внутр. оборот 1.2 млн ₸; быстрый транзит 48%; повторяющихся маршрутов 0; ключевой узел 100000004670388100 (транзит); 2 узлов на границе обхода (исходящие неизвестны).",0.38,8000.0,5,2,0.4801,0,1197154.0,1189154.0,0.0,0.0,"peripheral:4, transit:1"
29,53,1,2993313.0,100000003265158100 100000008443341100 100000004662806100 100000001899164100 100000004386258100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 4, транзит 6, распределитель 2). 53 узлов, seed 1; внутр. оборот 3.0 млн ₸; быстрый транзит 15%; повторяющихся маршрутов 0; ключевой узел 100000003265158100 (консолидатор); 8 узлов на границе обхода (исходящие неизвестны).",0.3761,414614.4,59,8,0.1535,0,3269156.4,1667730.0,0.0,1464354.0,"terminal:23, peripheral:18, transit:6, consolidator:4, distributor:2"
30,83,0,6502284.0,100000004400305100 100000001126374100 100000003068941100 100000007138613100 100000002645609100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 3, транзит 1, распределитель 2, координатор 1). 83 узлов, seed 0; внутр. оборот 6.5 млн ₸; быстрый транзит 51%; повторяющихся маршрутов 0; ключевой узел 100000004400305100 (распределитель); 28 узлов на границе обхода (исходящие неизвестны).",0.3611,3472417.68,82,28,0.5069,0,7816205.68,8660780.0,0.0,0.0,"peripheral:45, terminal:31, consolidator:3, distributor:2, transit:1, coordinator:1"
31,43,1,5075042.64,100000006707582100 100000006972210100 100000003071930100 100000004159526100 100000006443391100,"Сбор → транзит → распределение: полный контур движения средств (консолидатор 3, транзит 1, распределитель 3). 43 узлов, seed 1; внутр. оборот 5.1 млн ₸; быстрый транзит 21%; повторяющихся маршрутов 0; ключевой узел 100000006707582100 (распределитель).",0.3579,2217594.0,46,0,0.2145,0,5873550.64,4231260.64,0.0,2262868.0,"terminal:29, peripheral:7, distributor:3, consolidator:3, transit:1"
32,7,0,143000.0,100000004508696100 100000005911352100 100000000507799100 100000003962994100 100000005127767100,"Цепочки быстрого транзита и повторяющиеся маршруты (транзит 1). 7 узлов, seed 0; внутр. оборот 143 тыс ₸; быстрый транзит 74%; повторяющихся маршрутов 0; ключевой узел 100000004508696100 (транзит); 2 узлов на границе обхода (исходящие неизвестны).",0.3561,5132.0,7,2,0.7413,0,148132.0,143000.0,0.0,0.0,"peripheral:4, terminal:2, transit:1"
33,15,0,850450.0,100000005505655100 100000001526235100 100000001788284100 100000002472632100 100000000926766100,"Веерная раздача (распределитель 2, координатор 1). 15 узлов, seed 0; внутр. оборот 850 тыс ₸; быстрый транзит 33%; повторяющихся маршрутов 0; ключевой узел 100000005505655100 (координатор); 6 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: зарплата, выплаты поставщикам.",0.3373,13070.0,18,6,0.3259,0,863520.0,850450.0,0.0,0.0,"peripheral:10, distributor:2, terminal:2, coordinator:1"
34,120,0,4465650.0,100000002578405100 100000002214664100 100000004292885100 100000001632325100 100000008493007100,"Транзит с веерной раздачей (транзит 1, распределитель 1). 120 узлов, seed 0; внутр. оборот 4.5 млн ₸; быстрый транзит 48%; повторяющихся маршрутов 1; ключевой узел 100000002578405100 (распределитель); 4 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.3328,193700.0,120,4,0.4779,1,4585650.0,4539350.0,0.0,0.0,"terminal:110, peripheral:8, distributor:1, transit:1"
35,150,1,5518694.0,100000001697501100 100000005342513100 100000001166289100 100000002527114100 100000002733905100,"Веерная раздача (распределитель 2). 150 узлов, seed 1; внутр. оборот 5.5 млн ₸; быстрый транзит 44%; повторяющихся маршрутов 1; ключевой узел 100000001697501100 (распределитель). Обычное объяснение: зарплата, выплаты поставщикам.",0.329,193700.0,157,0,0.4433,1,5463394.0,2349445.0,129000.0,3289249.0,"terminal:140, peripheral:8, distributor:2"
36,13,1,1392916.0,100000001380054100 100000003164661100 100000005077484100 100000004192865100 100000000703894100,"Транзит с веерной раздачей (транзит 1, распределитель 1). 13 узлов, seed 1; внутр. оборот 1.4 млн ₸; быстрый транзит 15%; повторяющихся маршрутов 0; ключевой узел 100000001380054100 (транзит). Обычное объяснение: выплаты / зарплатный проект.",0.257,0.0,14,0,0.1486,0,1232916.0,1096416.0,160000.0,296500.0,"terminal:6, peripheral:5, distributor:1, transit:1"
37,33,1,1727157.0,100000005612411100 100000008172352100 100000001102676100 100000002964966100 100000001477796100,"Веерная раздача (распределитель 3). 33 узлов, seed 1; внутр. оборот 1.7 млн ₸; быстрый транзит 31%; повторяющихся маршрутов 0; ключевой узел 100000005612411100 (распределитель); 5 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: зарплата, выплаты поставщикам.",0.2522,667685.0,35,5,0.3105,0,1824922.0,1316227.0,0.0,980850.0,"terminal:16, peripheral:14, distributor:3"
38,3,1,450000.0,100000002371751100 100000000769919100 100000007018630100,"Цепочки быстрого транзита и повторяющиеся маршруты. 3 узлов, seed 1; внутр. оборот 450 тыс ₸; быстрый транзит 56%; повторяющихся маршрутов 1; ключевой узел 100000002371751100 (периферия).",0.2389,0.0,2,0,0.5556,1,450000.0,250000.0,0.0,200000.0,"peripheral:2, terminal:1"
39,17,0,563800.0,100000004180097100 100000003154105100 100000002293421100 100000000723383100 100000002185328100,"Транзит с веерной раздачей (транзит 1, распределитель 1). 17 узлов, seed 0; внутр. оборот 564 тыс ₸; быстрый транзит 21%; повторяющихся маршрутов 0; ключевой узел 100000004180097100 (транзит); 10 узлов на границе обхода (исходящие неизвестны). Обычное объяснение: выплаты / зарплатный проект.",0.2171,86854.0,19,10,0.2075,0,640654.0,573800.0,0.0,0.0,"peripheral:14, transit:1, terminal:1, distributor:1"
40,6,1,275885.0,100000005895525100 100000002462183100 100000007175718100 100000005056870100 100000005807278100,"Веерная раздача (распределитель 1). 6 узлов, seed 1; внутр. оборот 276 тыс ₸; быстрый транзит 0%; повторяющихся маршрутов 0; ключевой узел 100000005895525100 (конечный получатель). Обычное объяснение: зарплата, выплаты поставщикам.",0.2,0.0,5,0,0.0,0,275885.0,0.0,0.0,275885.0,"terminal:5, distributor:1"
41,6,1,383300.0,100000005546031100 100000004331458100 100000004094958100 100000005363908100 100000005547096100,"Обычная активность без выраженных признаков. 6 узлов, seed 1; внутр. оборот 383 тыс ₸; быстрый транзит 18%; повторяющихся маршрутов 0; ключевой узел 100000005546031100 (периферия).",0.0732,0.0,8,0,0.1761,0,383300.0,293800.0,0.0,89500.0,"peripheral:5, terminal:1"
42,10,0,1260500.0,100000005074393100 100000006424479100 100000005882013100 100000003270419100 100000000733451100,"Обычная активность без выраженных признаков. 10 узлов, seed 0; внутр. оборот 1.3 млн ₸; быстрый транзит 4%; повторяющихся маршрутов 0; ключевой узел 100000005074393100 (периферия); 1 узлов на границе обхода (исходящие неизвестны).",0.0652,523026.0,12,1,0.044,0,1783526.0,1260500.0,0.0,0.0,"peripheral:6, terminal:4"
43,4,1,79050.0,100000003148220100 100000001852140100 100000006888238100 100000004971871100,"Обычная активность без выраженных признаков. 4 узлов, seed 1; внутр. оборот 79 тыс ₸; быстрый транзит 19%; повторяющихся маршрутов 0; ключевой узел 100000003148220100 (периферия).",0.0566,0.0,4,0,0.1929,0,53650.0,73400.0,25400.0,5650.0,"peripheral:3, terminal:1"
44,3,1,450816.0,100000005034574100 100000007283257100 100000004388983100,"Обычная активность без выраженных признаков. 3 узлов, seed 1; внутр. оборот 451 тыс ₸; быстрый транзит 0%; повторяющихся маршрутов 0; ключевой узел 100000005034574100 (конечный получатель).",0.0375,0.0,2,0,0.0,0,450816.0,0.0,0.0,450816.0,"terminal:2, peripheral:1"
45,5,2,108007.0,100000006562026100 100000007347733100 100000008129393100 100000006249740100 100000006831291100,"Обычная активность без выраженных признаков. 5 узлов, seed 2; внутр. оборот 108 тыс ₸; быстрый транзит 0%; повторяющихся маршрутов 0; ключевой узел 100000006562026100 (конечный получатель).",0.0167,0.0,4,0,0.0,0,108007.0,0.0,0.0,108007.0,"terminal:3, peripheral:2"
46,2,1,81465.0,100000003865939100 100000005392290100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,1,0,0.0,0,81465.0,0.0,0.0,81465.0,"peripheral:1, terminal:1"
47,2,1,30000.0,100000003980083100 100000003200071100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,1,0,0.0,0,30000.0,0.0,0.0,30000.0,"peripheral:1, terminal:1"
48,1,1,0.0,100000000456947100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
49,1,1,0.0,100000003265658100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
50,1,1,0.0,100000003349739100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
51,1,1,0.0,100000003770083100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
52,1,1,0.0,100000004021459100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
53,1,1,0.0,100000004174835100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
54,1,1,0.0,100000005017150100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
55,1,1,0.0,100000005087431100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
56,1,1,0.0,100000005235389100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
57,1,1,0.0,100000005480435100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
58,1,1,0.0,100000005495722100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
59,1,1,0.0,100000005550592100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
60,1,1,0.0,100000005560900100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
61,1,1,0.0,100000005568407100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
62,1,1,0.0,100000008117324100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
63,1,1,0.0,100000008205000100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
64,1,1,0.0,100000008513251100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
65,1,1,0.0,100000008669037100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
66,1,1,0.0,100000008701222100,Малая изолированная группа — недостаточно данных для гипотезы.,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,peripheral:1
